(10, 512)
Epoch 1 error: 2.0188643, use 165.6975908 seconds.
Epoch 2 error: 0.6395098, use 147.9545321 seconds.
Epoch 3 error: 0.5657706, use 146.2702994 seconds.
Epoch 4 error: 0.5593609, use 148.5023086 seconds.
Epoch 5 error: 0.5587585, use 145.4332740 seconds.
Epoch 6 error: 0.5614660, use 145.8439279 seconds.
Epoch 7 error: 0.5613970, use 147.3399687 seconds.
Epoch 8 error: 0.5572999, use 146.4145360 seconds.
Epoch 9 error: 0.5535025, use 146.3507109 seconds.
Epoch 10 error: 0.5554894, use 147.3573797 seconds.
10 clusters, final loss is 0.5554894, costs 1487.1645281 seconds
