(500, 512)
Epoch 1 error: 1.6063207, use 1492.8247843 seconds.
Epoch 2 error: 0.4858756, use 1447.8555276 seconds.
Epoch 3 error: 0.4230772, use 1458.0375397 seconds.
Epoch 4 error: 0.4034716, use 1481.7266061 seconds.
Epoch 5 error: 0.3949572, use 1447.2979116 seconds.
Epoch 6 error: 0.3895022, use 1446.4408486 seconds.
Epoch 7 error: 0.3876323, use 1475.1726658 seconds.
Epoch 8 error: 0.3823615, use 1474.1908162 seconds.
Epoch 9 error: 0.3781618, use 1472.2574694 seconds.
Epoch 10 error: 0.3775655, use 1488.2139273 seconds.
500 clusters, final loss is 0.3775655, costs 14684.0180967 seconds
