(90, 512)
Epoch 1 error: 7.7691435, use 377.4326441 seconds.
Epoch 2 error: 0.1781682, use 354.6441326 seconds.
Epoch 3 error: 0.1804082, use 353.4258282 seconds.
Epoch 4 error: 0.1795352, use 358.9619040 seconds.
Epoch 5 error: 0.1795812, use 350.4447482 seconds.
Epoch 6 error: 0.1806555, use 352.0194571 seconds.
Epoch 7 error: 0.1796884, use 355.8674421 seconds.
Epoch 8 error: 0.1792015, use 353.7190206 seconds.
Epoch 9 error: 0.1794837, use 354.2413392 seconds.
Epoch 10 error: 0.1793342, use 356.2272491 seconds.
90 clusters, final loss is 0.1793342, costs 3566.9837654 seconds
