(60, 40)
Epoch 1 error: 31.7554471, use 755.4707897 seconds.
Epoch 2 error: 11.7052964, use 809.8288808 seconds.
Epoch 3 error: 8.9832160, use 793.1610136 seconds.
Epoch 4 error: 8.4429636, use 787.9538670 seconds.
Epoch 5 error: 8.1218799, use 801.4733536 seconds.
Epoch 6 error: 7.9436403, use 791.1669691 seconds.
Epoch 7 error: 7.8511700, use 798.7761278 seconds.
Epoch 8 error: 7.7958967, use 796.6635036 seconds.
Epoch 9 error: 7.7576769, use 822.0499563 seconds.
Epoch 10 error: 7.7291957, use 797.1826801 seconds.
60 clusters, final loss is 7.7291957, costs 7953.7271416 seconds
